no;questions;category0
0;How did serfdom develop in and then leave Russia ?;DESCRIPTION
1;What films featured the character Popeye Doyle ?;ENTITY
2;How can I find a list of celebrities ' real names ?;DESCRIPTION
3;What fowl grabs the spotlight after the Chinese Year of the Monkey ?;ENTITY
4;What is the full form of .com ?;ABBREVIATION
5;What contemptible scoundrel stole the cork from my lunch ?;HUMAN
6;What team did baseball 's St. Louis Browns become ?;HUMAN
7;What is the oldest profession ?;HUMAN
8;What are liver enzymes ?;DESCRIPTION
9;Name the scar-faced bounty hunter of The Old West .;HUMAN
10;When was Ozzy Osbourne born ?;NUMERIC
11;Why do heavier objects travel downhill faster ?;DESCRIPTION
12;Who was The Pride of the Yankees ?;HUMAN
13;Who killed Gandhi ?;HUMAN
14;What is considered the costliest disaster the insurance industry has ever faced ?;ENTITY
15;What sprawling U.S. state boasts the most airports ?;LOCATION
16;What did the only repealed amendment to the U.S. Constitution deal with ?;DESCRIPTION
17;How many Jews were executed in concentration camps during WWII ?;NUMERIC
18;What is `` Nine Inch Nails '' ?;DESCRIPTION
19;What is an annotated bibliography ?;DESCRIPTION
20;What is the date of Boxing Day ?;NUMERIC
21;What articles of clothing are tokens in Monopoly ?;ENTITY
22;Name 11 famous martyrs .;HUMAN
23;What 's the Olympic motto ?;DESCRIPTION
24;What is the origin of the name ` Scarlett ' ?;DESCRIPTION
25;What 's the second-most-used vowel in English ?;ENTITY
26;Who was the inventor of silly putty ?;HUMAN
27;What is the highest waterfall in the United States ?;LOCATION
28;Name a golf course in Myrtle Beach .;ENTITY
29;Which two states enclose Chesapeake Bay ?;LOCATION
30;What does the abbreviation AIDS stand for ?;ABBREVIATION
31;What does a spermologer collect ?;ENTITY
32;How many points make up a perfect fivepin bowling score ?;NUMERIC
33;Which company that manufactures video-game hardware sells the `` super system '' ?;HUMAN
34;How many Community Chest cards are there in Monopoly ?;NUMERIC
35;What do Mormons believe ?;DESCRIPTION
36;When did the neanderthal man live ?;NUMERIC
37;In what religion was Isis the nature goddess ?;ENTITY
38;Where do the adventures of `` The Swiss Family Robinson '' take place ?;LOCATION
39;What relative of the racoon is sometimes known as the cat-bear ?;ENTITY
40;How can I register my website in Yahoo for free ?;DESCRIPTION
41;What was cash-conscious Colonel Edwin L. Drake the first to drill ?;ENTITY
42;How many people in the world speak French ?;NUMERIC
43;How many inches over six feet is the Venus de Milo ?;NUMERIC
44;How do they find or choose witnesses to an execution ?;DESCRIPTION
45;What 1920s cowboy star rode Tony the Wonder Horse ?;HUMAN
46;What cocktail inspired John Doxat to write the book Stirred-Not Shaken ?;ENTITY
47;What ISPs exist in the Caribbean ?;HUMAN
48;How do you ask a total stranger out on a date ?;DESCRIPTION
49;What weapon is the mythological character Apollo most proficient with ?;ENTITY
50;What country do the Galapagos Islands belong to ?;LOCATION
51;What is ethology ?;DESCRIPTION
52;Who was the prophet of the Muslim people ?;HUMAN
53;Where did the term `` 86ed '' come from ?;DESCRIPTION
54;Who is Snoopy 's arch-enemy ?;HUMAN
55;What is the nature of learning ?;DESCRIPTION
56;What 's the only color Johnny Cash wears on stage ?;ENTITY
57;What 's the term for a young fox ?;ENTITY
58;What U.S. state lived under six flags ?;LOCATION
59;What is the Kashmir issue ?;DESCRIPTION
60;Where is the Loop ?;LOCATION
61;What does `` extended definition '' mean and how would one write a paper on it ?;DESCRIPTION
62;What country 's capital is Tirana ?;LOCATION
63;What is titanium ?;DESCRIPTION
64;Who do Herb and Tootsie live next door to ?;HUMAN
65;Which city has the oldest relationship as a sisterÇøcity with Los Angeles ?;LOCATION
66;What is a caldera ?;DESCRIPTION
67;Why do people get calluses ?;DESCRIPTION
68;What are the names of the tourist attractions in Reims ?;LOCATION
69;What are Cushman and Wakefield known for ?;DESCRIPTION
70;What body of water does the Danube River flow into ?;LOCATION
71;Who is the founder of Scientology ?;HUMAN
72;What does the six-footed Musca domestica become when it enters a house ?;ENTITY
73;What is the history of skateboarding ?;DESCRIPTION
74;Who starred in Singing in the Rain and The Singing Nun ?;HUMAN
75;How do I make fuel bricks from recycled newspaper ?;DESCRIPTION
76;What 19th-century painter died in the Marquesas Islands ?;HUMAN
77;The corpus callosum is in what part of the body ?;ENTITY
78;How do I log on to home page at Headquarters U.S. European Command ?;DESCRIPTION
79;What country did the Nazis occupy for 1 , CD NNS IN NNP NNP NNP .;LOCATION
80;What is Nebraska 's most valuable resource ?;ENTITY
81;How many species of the Great White shark are there ?;NUMERIC
82;What is the origin of head lice ?;DESCRIPTION
83;What is the nickname for the state of Mississippi ?;LOCATION
84;What was the first domesticated bird ?;ENTITY
85;How many villi are found in the small intestine ?;NUMERIC
86;What country did King Wenceslas rule ?;LOCATION
87;What is a fear of shadows ?;ENTITY
88;Who were the five Marx brothers ?;HUMAN
89;In which year was New Zealand excluded from the ANZUS alliance ?;NUMERIC
90;When did CNN begin broadcasting ?;NUMERIC
91;What causes the body to shiver in cold temperatures ?;DESCRIPTION
92;What are bear and bull markets ?;DESCRIPTION
93;What J.R.R. Tolkien book features Bilbo Baggins as the central character ?;ENTITY
94;What is `` dew point '' ?;DESCRIPTION
95;What is the meaning of Jesus ?;DESCRIPTION
96;What company 's logo is a `` W '' in a circle ?;HUMAN
97;What is the definition of a cascade ?;DESCRIPTION
98;When did Rococo painting and architecture flourish ?;NUMERIC
99;What country 's national passenger rail system is called Via ?;LOCATION
100;Who invented Make-up ?;HUMAN
101;What is the origin of the word `` attic '' ?;DESCRIPTION
102;What did Delilah do to Samson 's hair ?;DESCRIPTION
103;What kind of animals were in the Paleozoic era ?;ENTITY
104;Which of the following was Rhodes Scholar ?;HUMAN
105;Who comprised the now-defunct comic book team known as the Champions ?;HUMAN
106;How do you make a paintball ?;DESCRIPTION
107;What U.S. state is Fort Knox in ?;LOCATION
108;What is a female rabbit called ?;ENTITY
109;Where is the highest point in Japan ?;LOCATION
110;Where do chihuahuas come from ?;DESCRIPTION
111;Where does Barney Rubble go to work after he drops Fred off in the `` Flintstones '' cartoon series ?;LOCATION
112;What are the world 's four oceans ?;LOCATION
113;What 's the only work by Michelangelo that bears his signature ?;ENTITY
114;What is the largest snake in the world ?;ENTITY
115;In what medium is Stuart Hamblen considered to be the first singing cowboy ?;ENTITY
116;Where on the Internet can I find a song lyrics database similar to the International Lyrics Server ?;LOCATION
117;How much money does a back injury lawsuit get ?;NUMERIC
118;What 's the common name for acetylsalicylic acid ?;ENTITY
119;What does the Georgetown `` Hoya '' mean ?;DESCRIPTION
120;Where can I find a list of `` classic '' books 5th and 6th graders should read ?;LOCATION
121;Which two products use a tiger as their symbol ?;ENTITY
122;How is the election of a new Pope announced to the world ?;DESCRIPTION
123;How long does it take for your blood to make one complete trip through the body ?;NUMERIC
124;How do chickens have baby chicks ?;DESCRIPTION
125;What is the historical relationship of Catholic Church and bingo ?;DESCRIPTION
126;How was the element calcium named ?;DESCRIPTION
127;What crooner joined The Andrews Sisters for Pistol Packin Mama ?;HUMAN
128;What piano company claims its product is the `` Instrument of the immortals '' ?;HUMAN
129;When did the Bounty mutiny take place ?;NUMERIC
130;What novel inspired the movie BladeRunner ?;ENTITY
131;What is a transistor ?;DESCRIPTION
132;What is a film starring Jude Law ?;ENTITY
133;What Hollywood dog died in the arms of Jean Harlow in 1932 ?;ENTITY
134;What are the most common elements in the Earth 's crust ?;ENTITY
135;How much would it cost to purchase a 2-foot-square party tent , with sides , ?;NUMERIC
136;What actress has received the most Oscar nominations ?;HUMAN
137;What are equity securities ?;DESCRIPTION
138;What is gymnophobia ?;DESCRIPTION
139;How many years do fossils take to form ?;NUMERIC
